horizon_s,variant,feature_set,model,folds,test_rows_total,accuracy_evaluable_folds,accuracy_mean,accuracy_sd,macro_f1_evaluable_folds,macro_f1_mean,macro_f1_sd,precision_evaluable_folds,precision_mean,precision_sd,recall_evaluable_folds,recall_mean,recall_sd,f1_positive_evaluable_folds,f1_positive_mean,f1_positive_sd,roc_auc_evaluable_folds,roc_auc_mean,roc_auc_sd,pr_auc_evaluable_folds,pr_auc_mean,pr_auc_sd,brier_evaluable_folds,brier_mean,brier_sd,positive_rate_evaluable_folds,positive_rate_mean,positive_rate_sd
10,all_sessions,no_graph,ExtraTrees,5,6151,5,0.9367983090390786,0.05673627025440155,5,0.5237512920711755,0.047864378771044824,5,0.12971287940935192,0.2206541889289804,5,0.12024555903866249,0.2099566769559894,5,0.08113798008534852,0.11150433859441947,3,0.9548351309354853,0.026718673521945045,3,0.5826405712283939,0.15951602524648403,5,0.043509688089949455,0.04477389075419395,5,0.04670420096354096,0.05166353019288221
10,all_sessions,no_graph,HistGradientBoosting,5,6151,5,0.9481497522695191,0.0497055038800884,5,0.6022667457660247,0.11324979698425876,5,0.35910424010967484,0.43422001917314107,5,0.23464929467084636,0.23244927988367714,5,0.2324814913923825,0.24475715460082742,3,0.874178551460061,0.13242064007315726,3,0.5794099634493385,0.22052125545730114,5,0.044608193619802075,0.0424390007518051,5,0.04670420096354096,0.05166353019288221
10,all_sessions,no_graph,LogisticRegression,5,6151,5,0.9451451085722109,0.0536958682804596,5,0.5684613534453506,0.12862716981013578,5,0.18154052898417933,0.3287844517755252,5,0.19696969696969696,0.2697650577994675,5,0.16623376623376623,0.26324902772612835,3,0.9529102469960623,0.034626095870741135,3,0.6512647575844199,0.17072934368752826,5,0.041174407203562226,0.04471754444854909,5,0.04670420096354096,0.05166353019288221
10,all_sessions,no_graph,RandomForest,5,6151,5,0.943081003420543,0.06069776231365475,5,0.6073066279948003,0.14948686167576158,5,0.28657641820625246,0.35385722605776176,5,0.2840027429467085,0.3164309896357297,5,0.24567077822049085,0.3077172247872156,3,0.9524856668912779,0.029409906733853908,3,0.5648596123210489,0.19152245585785246,5,0.03965741048784209,0.037283534316354304,5,0.04670420096354096,0.05166353019288221
10,annotated_sessions,full_graph,ExtraTrees,4,5106,4,0.959537711803317,0.04784264601393389,4,0.6187236578186717,0.1435562780283043,4,0.325271294021294,0.37594265119079867,4,0.22768498563218392,0.28937644416594005,4,0.25954216488357457,0.31011924356241627,2,0.9693365926479912,0.007629025406473711,2,0.6998592153247065,0.04948755821641595,4,0.02856237254629498,0.0340931338878746,4,0.05048551436232093,0.05885154993022004
10,annotated_sessions,full_graph,HistGradientBoosting,4,5106,4,0.9695667184415664,0.037635448301619474,4,0.6505745210626486,0.17834822733316194,4,0.4037510864841373,0.4667983484019411,4,0.26495150862068967,0.31840085463648127,4,0.3177534196788475,0.3739121062011844,2,0.9569987104163664,0.0007132351551714653,2,0.7479000835206021,0.05342380161564691,4,0.031176061504574474,0.03979113337801702,4,0.05048551436232093,0.05885154993022004
10,annotated_sessions,full_graph,LogisticRegression,4,5106,4,0.9557583022115694,0.049450872052477106,4,0.6146271525416669,0.13690372595117545,4,0.29353514132925895,0.34977766098009505,4,0.22328484195402298,0.26223492330260895,4,0.25348290536849066,0.29943671743549033,2,0.8956586625919233,0.026446450575110074,2,0.5474578220811465,0.1167684830619723,4,0.0386744817445414,0.042135677808687086,4,0.05048551436232093,0.05885154993022004
10,annotated_sessions,full_graph,RandomForest,4,5106,4,0.9674419413864611,0.038364424338852815,4,0.6464794834309043,0.16954897066774688,4,0.3780107973421927,0.43659623300795913,4,0.26400862068965514,0.3057079972908952,4,0.31078271028037385,0.359370714380869,2,0.9689696769651397,0.009479965551153043,2,0.721621482314327,0.02232595852241511,4,0.02473529962351625,0.02931629612567162,4,0.05048551436232093,0.05885154993022004
10,recorded_route_only,full_graph,ExtraTrees,2,817,2,1.0,0.0,2,0.5,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,0,,,0,,,2,1.2524288750077248e-06,1.7369307823421546e-06,2,0.0,0.0
10,recorded_route_only,full_graph,HistGradientBoosting,2,817,2,1.0,0.0,2,0.5,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,0,,,0,,,2,4.147280933720713e-07,4.297902961648057e-07,2,0.0,0.0
