alert_episodes,false_alert_episodes,false_alerts_per_hour,events,warned_events,event_recall,median_lead_s,pct_events_lead_ge_2s,pct_events_lead_ge_5s,horizon_s,variant,feature_set,test_session,model,threshold
11,2,2.5843503230437905,32,10,0.3125,3.0,0.9,0.2,5,all_sessions,euclidean_only,S4_SAFETY_RICH_NAVEEN12,HistGradientBoosting,0.28
0,0,0.0,0,0,,,,,5,all_sessions,euclidean_only,S5_REAL_TMS_JULY10,LogisticRegression,0.24000000000000005
0,0,0.0,0,0,,,,,5,all_sessions,euclidean_only,S5_REAL_TMS_JULY10,ExtraTrees,0.28
0,0,0.0,0,0,,,,,5,all_sessions,euclidean_only,S5_REAL_TMS_JULY10,RandomForest,0.5200000000000001
0,0,0.0,0,0,,,,,5,all_sessions,euclidean_only,S5_REAL_TMS_JULY10,HistGradientBoosting,0.5000000000000001
27,13,21.787709497206702,25,15,0.6,3.0,0.7333333333333333,0.2,5,annotated_sessions,full_graph,S1_LOW_SOC_STRESS,LogisticRegression,0.24000000000000005
0,0,0.0,25,0,0.0,,,,5,annotated_sessions,full_graph,S1_LOW_SOC_STRESS,ExtraTrees,0.5800000000000001
34,11,18.435754189944134,25,22,0.88,2.0,0.6818181818181818,0.09090909090909091,5,annotated_sessions,full_graph,S1_LOW_SOC_STRESS,RandomForest,0.32000000000000006
37,14,23.463687150837988,25,22,0.88,3.5,0.7272727272727273,0.18181818181818182,5,annotated_sessions,full_graph,S1_LOW_SOC_STRESS,HistGradientBoosting,0.16000000000000003
0,0,0.0,0,0,,,,,5,annotated_sessions,full_graph,S2_HIGH_SOC_CONTROL,LogisticRegression,0.26
0,0,0.0,0,0,,,,,5,annotated_sessions,full_graph,S2_HIGH_SOC_CONTROL,ExtraTrees,0.42000000000000004
0,0,0.0,0,0,,,,,5,annotated_sessions,full_graph,S2_HIGH_SOC_CONTROL,RandomForest,0.4800000000000001
0,0,0.0,0,0,,,,,5,annotated_sessions,full_graph,S2_HIGH_SOC_CONTROL,HistGradientBoosting,0.4000000000000001
