n,positive_rate,threshold,accuracy,macro_f1,precision,recall,f1_positive,roc_auc,pr_auc,brier,tn,fp,fn,tp,horizon_s,variant,feature_set,test_session,model,calibration_source,calibration_method,fit_rows,calibration_rows,test_rows,fit_s,infer_ms_row,n_used_features,removed_all_missing_features
1159,0.023295944779982744,0.4800000000000001,0.9741156169111302,0.6673109308022045,0.42105263157894735,0.2962962962962963,0.34782608695652173,0.9412380578458316,0.2966702188463721,0.0220791833370181,1121,11,19,8,5,all_sessions,full_graph,S3_MEDIUM_SOC_WHOLETESTING,RandomForest,session:S4_SAFETY_RICH_NAVEEN12,platt_sigmoid,3259,2786,1159,0.30109683299815515,0.027047167390267943,40,current_ma|wheel_mean|wheel_abs_diff|command_mismatch_share_10s|command_mismatch_share_30s
1159,0.023295944779982744,0.26,0.9594477998274374,0.6280310013998429,0.23684210526315788,0.3333333333333333,0.27692307692307694,0.862943332024604,0.22802252963523298,0.024653433742801475,1103,29,18,9,5,all_sessions,full_graph,S3_MEDIUM_SOC_WHOLETESTING,HistGradientBoosting,session:S4_SAFETY_RICH_NAVEEN12,platt_sigmoid,3259,2786,1159,0.33200262500031386,0.005407211389298196,40,current_ma|wheel_mean|wheel_abs_diff|command_mismatch_share_10s|command_mismatch_share_30s
2786,0.04558506819813352,0.16000000000000003,0.9432878679109835,0.6858743805804846,0.38686131386861317,0.41732283464566927,0.4015151515151515,0.9208659936688057,0.28666158338818415,0.037973198291213074,2575,84,74,53,5,all_sessions,full_graph,S4_SAFETY_RICH_NAVEEN12,LogisticRegression,session:S3_MEDIUM_SOC_WHOLETESTING,platt_sigmoid,3259,1159,2786,0.016648791999614332,0.0008527609472108198,40,current_ma|wheel_mean|wheel_abs_diff|command_mismatch_share_10s|command_mismatch_share_30s
2786,0.04558506819813352,0.22000000000000003,0.9720028715003589,0.8301856714178545,0.7168141592920354,0.6377952755905512,0.675,0.9747699833872778,0.7074129455141848,0.03021129368862963,2627,32,46,81,5,all_sessions,full_graph,S4_SAFETY_RICH_NAVEEN12,ExtraTrees,session:S3_MEDIUM_SOC_WHOLETESTING,platt_sigmoid,3259,1159,2786,0.16726708300120663,0.011232770996724676,40,current_ma|wheel_mean|wheel_abs_diff|command_mismatch_share_10s|command_mismatch_share_30s
2786,0.04558506819813352,0.36000000000000004,0.9698492462311558,0.7588773491592482,0.9056603773584906,0.3779527559055118,0.5333333333333333,0.9841009437566073,0.7982479534192065,0.024162144944478554,2654,5,79,48,5,all_sessions,full_graph,S4_SAFETY_RICH_NAVEEN12,RandomForest,session:S3_MEDIUM_SOC_WHOLETESTING,platt_sigmoid,3259,1159,2786,0.30865329199878033,0.011496291099437455,40,current_ma|wheel_mean|wheel_abs_diff|command_mismatch_share_10s|command_mismatch_share_30s
2786,0.04558506819813352,0.2,0.9691313711414213,0.7910400379552979,0.735632183908046,0.5039370078740157,0.5981308411214953,0.9386721075059301,0.6735778666422164,0.030124562984782253,2636,23,63,64,5,all_sessions,full_graph,S4_SAFETY_RICH_NAVEEN12,HistGradientBoosting,session:S3_MEDIUM_SOC_WHOLETESTING,platt_sigmoid,3259,1159,2786,0.36826141699566506,0.0029793761672511597,40,current_ma|wheel_mean|wheel_abs_diff|command_mismatch_share_10s|command_mismatch_share_30s
724,0.0,0.1,1.0,0.5,0.0,0.0,0.0,,,0.00012181239179585918,724,0,0,0,5,all_sessions,full_graph,S5_REAL_TMS_JULY10,LogisticRegression,session:S4_SAFETY_RICH_NAVEEN12,platt_sigmoid,3694,2786,724,0.021217583998804912,0.0025827582917196767,43,command_mismatch_share_10s|command_mismatch_share_30s
724,0.0,0.28,1.0,0.5,0.0,0.0,0.0,,,7.560487822027792e-10,724,0,0,0,5,all_sessions,full_graph,S5_REAL_TMS_JULY10,ExtraTrees,session:S4_SAFETY_RICH_NAVEEN12,platt_sigmoid,3694,2786,724,0.1823325420045876,0.0419034875760682,43,command_mismatch_share_10s|command_mismatch_share_30s
724,0.0,0.28,1.0,0.5,0.0,0.0,0.0,,,1.2530780092040403e-09,724,0,0,0,5,all_sessions,full_graph,S5_REAL_TMS_JULY10,RandomForest,session:S4_SAFETY_RICH_NAVEEN12,platt_sigmoid,3694,2786,724,0.3228490419933223,0.04165561740742983,43,command_mismatch_share_10s|command_mismatch_share_30s
724,0.0,0.26,1.0,0.5,0.0,0.0,0.0,,,4.375229154387911e-06,724,0,0,0,5,all_sessions,full_graph,S5_REAL_TMS_JULY10,HistGradientBoosting,session:S4_SAFETY_RICH_NAVEEN12,platt_sigmoid,3694,2786,724,0.3866647920003743,0.009020372924284922,43,command_mismatch_share_10s|command_mismatch_share_30s
