timestamp,X-coordinate,Y-coordinate,Going to ID,Speed,power consumption,Cumulative energy consumption,current consuption,Heading,Target reached,RIGHT DRIVE SIGNALS.ActualSpeed_R,LEFT DRIVE SIGNALS.ActualSpeed_L,Target reached,Current segment,Position confidence,Battery value
07:45.0,-3.493998,21.81833,1,0,225,199151.2,5382,1.602891,1,0,0,1,74,100,49
07:45.0,-3.493998,21.81833,1,0,225,199151.2,5382,1.602891,1,0,0,1,74,100,49
07:45.1,-3.493998,21.81833,1,0,225,199151.2,5382,1.602891,1,0,0,1,74,100,49
07:45.1,-3.493998,21.81833,1,0,225,199151.2,5382,1.602891,1,0,0,1,74,100,49
07:45.1,-3.493998,21.81833,1,0,225,199151.2,5382,1.602891,1,0,0,1,74,100,49
07:45.2,-3.493998,21.81833,1,0,225,199151.2,5382,1.602891,1,0,0,1,74,100,49
07:45.2,-3.493998,21.81833,1,0,225,199151.2,5382,1.602891,1,0,0,1,74,100,49
07:45.2,-3.493998,21.82093,1,0,225,199183.7,5382,1.602891,1,0,0,1,74,100,49
07:45.3,-3.493998,21.82093,1,0,225,199183.7,5382,1.602891,1,0,0,1,74,100,49
07:45.3,-3.493998,21.82093,1,0,225,199183.7,5382,1.602891,1,0,0,1,74,100,49
07:45.3,-3.493998,21.82093,1,0,225,199183.7,5382,1.602891,1,0,0,1,74,100,49
07:45.4,-3.493998,21.82093,1,0,225,199183.7,5382,1.602891,1,0,0,1,74,100,49
07:45.4,-3.493998,21.82093,1,0,225,199183.7,5382,1.602891,1,0,0,1,74,100,49
07:45.4,-3.493998,21.82093,1,0,225,199183.7,5382,1.602891,1,0,0,1,74,100,49
07:45.5,-3.493998,21.82093,1,0,225,199183.7,5382,1.602891,1,0,0,1,74,100,49
07:45.5,-3.493998,21.82093,1,0,225,199183.7,5382,1.602891,1,0,0,1,74,100,49
07:45.5,-3.493998,21.82093,1,0,225,199183.7,5382,1.602891,1,0,0,1,74,100,49
07:45.6,-3.493998,21.82093,1,0,225,199183.7,5382,1.602891,1,0,0,1,74,100,49
07:45.6,-3.493998,21.82093,1,0,225,199183.7,5382,1.602891,1,0,0,1,74,100,49
07:45.6,-3.493998,21.82093,1,0,225,199183.7,5382,1.602891,1,0,0,1,74,100,49
