case_id,automatic_case_type,session,case_time,mission_leg_id,temporal_segment_id
CASE_056,detected_onset,S1_LOW_SOC_STRESS,2026-06-22 15:57:26,S1_LOW_SOC_STRESS_L275,47.0
CASE_057,negative_control,S2_HIGH_SOC_CONTROL,2026-06-18 11:33:18,S2_HIGH_SOC_CONTROL_L115,18.0
CASE_058,detected_onset,S4_SAFETY_RICH_NAVEEN12,2026-03-01 00:37:18,S4_SAFETY_RICH_NAVEEN12_L3,1.0
CASE_059,negative_control,S4_SAFETY_RICH_NAVEEN12,2026-03-01 00:36:21,S4_SAFETY_RICH_NAVEEN12_L3,1.0
CASE_060,detected_onset,S4_SAFETY_RICH_NAVEEN12,2026-03-01 01:24:05,S4_SAFETY_RICH_NAVEEN12_L47,1.0
CASE_061,negative_control,S5_REAL_TMS_JULY10,2026-07-10 10:47:33,S5_REAL_TMS_JULY10_L198,15.0
CASE_062,detected_onset,S4_SAFETY_RICH_NAVEEN12,2026-03-01 01:22:27,S4_SAFETY_RICH_NAVEEN12_L43,1.0
CASE_063,detected_onset,S4_SAFETY_RICH_NAVEEN12,2026-03-01 00:59:03,S4_SAFETY_RICH_NAVEEN12_L18,1.0
CASE_064,detected_onset,S4_SAFETY_RICH_NAVEEN12,2026-03-01 01:18:51,S4_SAFETY_RICH_NAVEEN12_L37,1.0
CASE_065,detected_onset,S4_SAFETY_RICH_NAVEEN12,2026-03-01 01:45:25,S4_SAFETY_RICH_NAVEEN12_L61,1.0
CASE_066,detected_onset,S4_SAFETY_RICH_NAVEEN12,2026-03-01 01:13:26,S4_SAFETY_RICH_NAVEEN12_L32,1.0
CASE_067,negative_control,S1_LOW_SOC_STRESS,2026-06-22 15:35:02,S1_LOW_SOC_STRESS_L156,25.0
CASE_068,detected_onset,S4_SAFETY_RICH_NAVEEN12,2026-03-01 01:35:48,S4_SAFETY_RICH_NAVEEN12_L56,1.0
CASE_069,negative_control,S5_REAL_TMS_JULY10,2026-07-10 10:32:57,S5_REAL_TMS_JULY10_L159,14.0
CASE_070,negative_control,S2_HIGH_SOC_CONTROL,2026-06-18 11:32:38,S2_HIGH_SOC_CONTROL_L114,18.0
